37554,46203,15045,30,Usuario
56299,13794,19328,26,Usuario
27900,7608,8575,65,Usuario
70600,81943,3356,57,Usuario
19083,92954,18773,17,Usuario
29557,37883,4522,31,Usuario
21021,85955,19909,96,Usuario
6870,70067,10423,23,Usuario
74758,57282,7337,4,SO
49265,82609,11452,1,SO
14825,9990,7434,16,Usuario
34269,96768,14977,7,SO
90048,4858,2419,41,Usuario
67142,19365,4081,55,Usuario
61203,55195,10807,16,Usuario
26112,60410,4508,7,SO
8491,83912,18065,31,Usuario
83049,27220,12562,77,Usuario
58964,97644,16962,56,Usuario
24023,39877,17529,48,Usuario
95338,83557,9943,78,Usuario
11224,18145,8209,56,Usuario
21530,38954,17338,21,Usuario
38500,60514,4862,81,Usuario
92370,44779,6601,33,Usuario
90248,97726,13740,62,Usuario
19718,63595,8565,20,Usuario
90728,39122,13843,37,Usuario
68445,76756,13129,1,SO
8558,21503,11544,75,Usuario
18271,81448,4298,29,Usuario
11961,10174,19635,43,Usuario
64165,25356,9990,96,Usuario
58474,88425,2003,21,Usuario
5692,65563,15954,94,Usuario
36911,49546,15984,19,Usuario
37240,45659,19235,28,Usuario
75657,5432,11934,11,SO
42288,85853,2985,69,Usuario
46683,53656,8352,8,SO
15119,33946,6016,23,Usuario
10270,81504,9454,72,Usuario
61240,47409,14783,56,Usuario
37109,60836,7381,63,Usuario
10801,60007,4442,85,Usuario
34580,83739,10536,4,SO
29931,50531,18395,79,Usuario
91306,51424,16230,76,Usuario
42102,81083,5771,77,Usuario
45830,74259,9574,65,Usuario
8891,78979,12670,35,Usuario
26777,95189,3508,94,Usuario
55808,3255,3955,18,Usuario
72711,31862,15336,19,Usuario
89345,34779,2371,34,Usuario
24437,25554,15108,22,Usuario
82621,49733,16628,68,Usuario
80982,20687,10539,94,Usuario
27079,87981,8864,78,Usuario
35876,3250,11477,21,Usuario
51223,19266,2343,3,SO
56259,55433,8679,28,Usuario
4347,19730,4155,33,Usuario
90427,45124,16240,93,Usuario
22492,75819,19212,94,Usuario
86371,91509,7984,64,Usuario
57274,28133,7661,91,Usuario
