73788,1145,4092,94,Usuario
22131,1175,5889,13,SO
9452,2932,4237,68,Usuario
48633,2848,6985,44,Usuario
83538,2707,8582,20,Usuario
97804,1366,4708,58,Usuario
35832,2923,3395,5,SO
19779,718,3671,65,Usuario
37729,4266,8957,60,Usuario
66401,1438,7626,1,SO
24315,715,2258,92,Usuario
28419,1448,9228,68,Usuario
40933,1201,4607,74,Usuario
8179,3392,2857,4,SO
14361,1263,4801,75,Usuario
88321,3578,5889,9,SO
89766,1744,9079,55,Usuario
27626,3183,6011,62,Usuario
32246,1791,7659,56,Usuario
78217,3073,5097,78,Usuario
68061,708,4928,28,Usuario
78639,2907,6100,9,SO
78208,2772,7680,69,Usuario
86228,2746,9740,46,Usuario
4825,4592,8370,67,Usuario
36096,3750,2536,25,Usuario
43618,2986,4346,58,Usuario
78778,708,3982,29,Usuario
27450,1800,8129,7,SO
30371,2047,8217,41,Usuario
93627,2225,7742,21,Usuario
94522,4922,8637,18,Usuario
65061,1210,4614,44,Usuario
52425,2618,7015,62,Usuario
98109,4812,3394,49,Usuario
23739,2638,7162,55,Usuario
21747,4416,5692,55,Usuario
67062,3313,6080,17,Usuario
9437,1751,7914,53,Usuario
31547,1087,8881,30,Usuario
37731,2203,5552,96,Usuario
18873,1967,8576,56,Usuario
60512,2034,9852,43,Usuario
48828,4030,2195,38,Usuario
69573,720,6620,96,Usuario
87688,1963,3303,99,Usuario
53187,3832,4415,48,Usuario
21153,3663,8148,50,Usuario
71963,857,8822,12,SO
75267,2581,7992,52,Usuario
43958,3247,3574,8,SO
16879,3346,9153,81,Usuario
51857,4439,8438,76,Usuario
45910,4330,4944,78,Usuario
13019,4038,2745,60,Usuario
31585,708,6813,14,SO
62137,2502,6405,22,Usuario
71251,4080,8016,6,SO
53375,3786,2950,10,SO
7306,4566,3092,69,Usuario
17488,3872,7327,69,Usuario
24531,1281,2372,93,Usuario
21609,1528,2350,30,Usuario
63583,587,3573,32,Usuario
35956,1837,4715,59,Usuario
14984,936,3332,89,Usuario
85691,2335,4444,44,Usuario
86777,4734,6157,53,Usuario
60488,836,3043,18,Usuario
80650,1179,4836,55,Usuario
38087,3866,3599,29,Usuario
17243,540,9699,14,SO
20873,1532,4180,4,SO
72717,1506,7908,55,Usuario
55501,3977,3275,8,SO
90373,3018,8342,47,Usuario
28682,3195,7449,18,Usuario
32126,1238,7980,23,Usuario
34917,1404,6125,77,Usuario
91434,4225,6028,36,Usuario
71550,4977,3030,58,Usuario
89365,1584,9541,52,Usuario
64897,1139,3745,35,Usuario
63292,3775,3952,55,Usuario
28218,3384,6257,45,Usuario
62940,2104,7476,90,Usuario
78525,1881,2387,24,Usuario
50180,3308,8531,78,Usuario
12676,1088,3506,83,Usuario
22831,1494,3008,91,Usuario
2850,977,9678,43,Usuario
92848,4748,7493,30,Usuario
2426,1348,8557,82,Usuario
28084,2568,9286,84,Usuario
48335,1696,4080,69,Usuario
29363,2471,4370,3,SO
8395,2423,2129,86,Usuario
64674,4968,4848,34,Usuario
17966,2820,9143,87,Usuario
55280,3365,6428,96,Usuario
46748,1796,9903,22,Usuario
61778,4696,6693,84,Usuario
5615,1575,6463,52,Usuario
31690,2785,3279,33,Usuario
21222,798,2696,14,SO
38233,3037,9045,34,Usuario
18649,3214,5264,99,Usuario
61934,4508,2355,62,Usuario
70080,2394,3909,45,Usuario
23549,1989,2922,37,Usuario
94473,4426,3300,58,Usuario
10812,3103,2795,51,Usuario
55812,4529,7626,24,Usuario
86192,4875,5948,76,Usuario
32577,1980,5436,46,Usuario
23677,3964,9922,24,Usuario
43541,2577,6590,41,Usuario
82659,3800,2656,41,Usuario
44511,4783,6607,27,Usuario
42921,1943,2523,49,Usuario
2455,3224,4112,97,Usuario
29041,3738,8979,41,Usuario
17301,1025,2510,55,Usuario
68974,3103,4357,97,Usuario
15233,1223,3200,22,Usuario
63939,586,6311,15,SO
88319,4460,8441,40,Usuario
54578,1432,5300,61,Usuario
50956,3736,4895,7,SO
15022,2921,2177,76,Usuario
19537,4740,5784,2,SO
48108,2935,5578,65,Usuario
49984,1035,3800,81,Usuario
78886,2165,7071,58,Usuario
3524,3539,9734,80,Usuario
4491,4145,7609,54,Usuario
98018,2049,3634,62,Usuario
22516,3828,7474,34,Usuario
90352,3214,9066,30,Usuario
39522,1188,3953,84,Usuario
41242,2920,4498,19,Usuario
76631,3610,9472,52,Usuario
64659,805,9193,28,Usuario
82771,4144,7640,66,Usuario
76967,2133,4048,11,SO
